Index, Time, X, Y, Distance, Speed, vx, vy, X_s, Y_s, Sat_Speed, vxs, vys, Dist_to_Moon
3092, 309200.0000000000000000, 262730553.8323828000000000, 282253567.8823236800000000, 385609155.1031589500000000, 1019.9734015474966000, -741.7318688352479500, 700.1282558349871600, 284982938.8458466500000000, 289763959.4904312500000000, 2318.5474637007578000, 1269.9003355810887000, 1939.8493444399892000, 23485625.8357013610000000
3093, 309300.0000000000000000, 262656380.6454992600000000, 282323580.7079072000000000, 385609878.6565608400000000, 1019.9714998394766000, -741.9144472799075600, 699.9320062707096200, 285109928.8794047800000000, 289957944.4248752600000000, 2317.6241201751227000, 1268.9057284692158000, 1939.3967656659429000, 23715930.0398546530000000
3094, 309400.0000000000000000, 262582189.2007712700000000, 282393573.9085342900000000, 385610602.3831611900000000, 1019.9695976799560000, -742.0969731246854100, 699.7357091578156800, 285236819.4522517300000000, 290151884.1014418600000000, 2316.7131750286349000, 1267.9277428736234000, 1938.9479555167688000, 23946265.8650710550000000
3095, 309500.0000000000000000, 262507979.5034588000000000, 282463547.4794500500000000, 385611326.2829086800000000, 1019.9676950690721000, -742.2794463572365700, 699.5393645107542400, 285363612.2265390800000000, 290345778.8969935200000000, 2315.8143153685342000, 1266.9659000745437000, 1938.5028633752734000, 24176631.6779663790000000
3096, 309600.0000000000000000, 262433751.5588230800000000, 282533501.4159011200000000, 385612050.3557520500000000, 1019.9657920069620000, -742.4618669652201100, 699.3429723439774100, 285490308.8165465600000000, 290539629.1833310700000000, 2314.9272386461548000, 1266.0197394846020000, 1938.0614385156246000, 24407025.9230225380000000
3097, 309700.0000000000000000, 262359505.3721265500000000, 282603435.7131355400000000, 385612774.6016400500000000, 1019.9638884937635000, -742.6442349362994300, 699.1465326719405800, 285616910.7904950400000000, 290733435.3271826500000000, 2314.0516522478656000, 1265.0888178116224000, 1937.6236302024879000, 24637447.1185381150000000
3098, 309800.0000000000000000, 262285240.9486329300000000, 282673350.3664027500000000, 385613499.0205212200000000, 1019.9619845296138000, -742.8265502581419900, 698.9500455091023200, 285743419.6722762000000000, 290927197.6902028900000000, 2313.1872731042781000, 1264.1727082665793000, 1937.1893877795092000, 24867893.8528173860000000
3099, 309900.0000000000000000, 262210958.2936071200000000, 282743245.3709536800000000, 385614223.6123443200000000, 1019.9600801146504000, -743.0088129184193800, 698.7535108699243000, 285869836.9431028400000000, 291120916.6289808200000000, 2312.3338273168629000, 1263.2709998139339000, 1936.7586607481467000, 25098364.7805815940000000
3100, 310000.0000000000000000, 262136657.4123152800000000, 282813120.7220406500000000, 385614948.3770579700000000, 1019.9581752490108000, -743.1910229048073700, 698.5569287688713300, 285996164.0430842000000000, 291314592.4950556200000000, 2311.4910498011304000, 1262.3832964617850000, 1936.3313988377631000, 25328858.6195879840000000
3101, 310100.0000000000000000, 262062338.3100248000000000, 282882976.4149175300000000, 385615673.3146108400000000, 1019.9562699328326000, -743.3731802049859400, 698.3602992204115500, 286122402.3727303700000000, 291508225.6349393700000000, 2310.6586839455999000, 1261.5092165894316000, 1935.9075520677973000, 25559374.1474431190000000
3102, 310200.0000000000000000, 261988000.9920043100000000, 282952812.4448396000000000, 385616398.4249516100000000, 1019.9543641662532000, -743.5552848066391800, 698.1636222390160400, 286248553.2943893100000000, 291701816.3901461400000000, 2309.8364812857926000, 1260.6483923101118000, 1935.4870708027638000, 25789910.1985979710000000
3103, 310300.0000000000000000, 261913645.4635236300000000, 283022628.8070635200000000, 385617123.7080288500000000, 1019.9524579494102000, -743.7373366974553600, 697.9668978391592900, 286374618.1336203200000000, 291895365.0972264400000000, 2309.0242011925334000, 1259.8004688668259000, 1935.0699058007549000, 26020465.6615132760000000
3104, 310400.0000000000000000, 261839271.7298538700000000, 283092425.4968474500000000, 385617849.1637911800000000, 1019.9505512824414000, -743.9193358651268700, 697.7701260353188700, 286500598.1805070000000000, 292088872.0878065200000000, 2308.2216105738817000, 1258.9651040592901000, 1934.6560082560584000, 26251039.4759838620000000
3105, 310500.0000000000000000, 261764879.7962673600000000, 283162202.5094509700000000, 385618574.7921871500000000, 1019.9486441654843000, -744.1012822973502800, 697.5733068419754100, 286626494.6909129600000000, 292282337.6886321300000000, 2307.4284835900426000, 1258.1419677002002000, 1934.2453298364483000, 26481630.6306126420000000
3106, 310600.0000000000000000, 261690469.6680376200000000, 283231959.8401351600000000, 385619300.5931654000000000, 1019.9467365986767000, -744.2831759818263900, 697.3764402736129600, 286752308.8876829700000000, 292475762.2216157900000000, 2306.6446013806312000, 1257.3307410990960000, 1933.8378227156506000, 26712238.1604241650000000
3107, 310700.0000000000000000, 261616041.3504394300000000, 283301697.4841625100000000, 385620026.5666745300000000, 1019.9448285821562000, -744.4650169062600800, 697.1795263447184000, 286878041.9617928900000000, 292669146.0038873600000000, 2305.8697518037184000, 1256.5311165722330000, 1933.4334396014465000, 26942861.1446096710000000
3108, 310800.0000000000000000, 261541594.8487488000000000, 283371415.4367969600000000, 385620752.7126630500000000, 1019.9429201160605000, -744.6468050583603100, 696.9825650697820300, 287003695.0734500900000000, 292862489.3478475200000000, 2305.1037291860862000, 1255.7427969769699000, 1933.0321337598239000, 27173498.7043950190000000
3109, 310900.0000000000000000, 261467130.1682429600000000, 283441113.6933039400000000, 385621479.0310795900000000, 1019.9410112005276000, -744.8285404258404000, 696.7855564632973300, 287129269.3531478000000000, 293055792.5612235100000000, 2304.3463340841654000, 1254.9654952692731000, 1932.6338590355601000, 27404150.0010244360000000
3110, 311000.0000000000000000, 261392647.3142003700000000, 283510792.2489502400000000, 385622205.5218726400000000, 1019.9391018356949000, -745.0102229964176100, 696.5885005397607300, 287254765.9026747300000000, 293249055.9471270400000000, 2303.5973730551605000, 1254.1989340830314000, 1932.2385698695757000, 27634814.2338525470000000
