Index, Time, X, Y, Distance, Speed, vx, vy
11236, 11236.0000000000000000, 1186417.2632559338000000, 6666868.8914198596000000, 6771611.8271747958000000, 7669.4070391892965000, 7550.6292495014986000, -1344.5453764521158000
11237, 11237.0000000000000000, 1193967.8925054353000000, 6665524.3460434079000000, 6771615.3269387111000000, 7669.4030760615633000, 7549.0966742378050000, -1353.1012327665233000
11238, 11238.0000000000000000, 1201516.9891796731000000, 6664171.2448106417000000, 6771618.8208912350000000, 7669.3991195246881000, 7547.5544113530668000, -1361.6553390013662000
11239, 11239.0000000000000000, 1209064.5435910262000000, 6662809.5894716401000000, 6771622.3090278907000000, 7669.3951695837277000, 7546.0024628529181000, -1370.2076842040817000
11240, 11240.0000000000000000, 1216610.5460538792000000, 6661439.3817874361000000, 6771625.7913442096000000, 7669.3912262437325000, 7544.4408307553394000, -1378.7582574244213000
11241, 11241.0000000000000000, 1224154.9868846345000000, 6660060.6235300116000000, 6771629.2678357316000000, 7669.3872895097438000, 7542.8695170906540000, -1387.3070477144652000
11242, 11242.0000000000000000, 1231697.8564017252000000, 6658673.3164822971000000, 6771632.7384980032000000, 7669.3833593867948000, 7541.2885239015231000, -1395.8540441286357000
11243, 11243.0000000000000000, 1239239.1449256267000000, 6657277.4624381689000000, 6771636.2033265773000000, 7669.3794358799087000, 7539.6978532429457000, -1404.3992357237112000
11244, 11244.0000000000000000, 1246778.8427788697000000, 6655873.0632024454000000, 6771639.6623170171000000, 7669.3755189941021000, 7538.0975071822559000, -1412.9426115588401000
11245, 11245.0000000000000000, 1254316.9402860519000000, 6654460.1205908861000000, 6771643.1154648894000000, 7669.3716087343828000, 7536.4874877991188000, -1421.4841606955547000
11246, 11246.0000000000000000, 1261853.4277738510000000, 6653038.6364301909000000, 6771646.5627657734000000, 7669.3677051057484000, 7534.8677971855268000, -1430.0238721977844000
11247, 11247.0000000000000000, 1269388.2955710364000000, 6651608.6125579933000000, 6771650.0042152517000000, 7669.3638081131912000, 7533.2384374458006000, -1438.5617351318704000
11248, 11248.0000000000000000, 1276921.5340084822000000, 6650170.0508228615000000, 6771653.4398089154000000, 7669.3599177616916000, 7531.5994106965827000, -1447.0977385665788000
